"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"ENSMUSG00000022656"	-0.556402563368332	5.07611963577945	43.6512322545814	2.83054135007556e-08	0.00053007547862865
"ENSMUSG00000048826"	-0.376154770760366	5.73855034474189	36.5779330820277	1.90908720967498e-07	0.00145351789046758
"ENSMUSG00000019997"	0.629827892762088	4.53558143487132	36.6525565647883	2.32848489955825e-07	0.00145351789046758
"ENSMUSG00000021624"	-0.787870994740342	1.00115367295097	33.8511492871413	4.32325414096446e-07	0.00202403950744604
"ENSMUSG00000069171"	-0.323355456411941	5.59393017867337	31.601641668906	8.67105457244795e-07	0.00297067966366151
"ENSMUSG00000000489"	0.362936868856481	4.69124989965729	31.3054266667618	9.51785015323812e-07	0.00297067966366151
"ENSMUSG00000036437"	-0.403635686509209	4.85673459631744	30.2438427646576	1.33315662280804e-06	0.003074426790062
"ENSMUSG00000049892"	0.768130226193935	2.43087281437814	30.1392638829347	1.41571239671548e-06	0.003074426790062
"ENSMUSG00000050721"	-0.599108945464541	3.36158576733712	29.922880150394	1.47753730499055e-06	0.003074426790062
"ENSMUSG00000022687"	-0.346259869933572	4.31815345805547	29.3611238424307	1.77079206339556e-06	0.00319364151106853
"ENSMUSG00000047606"	-0.51448868167019	3.6716717617467	29.183105680928	1.87590412889164e-06	0.00319364151106853
"ENSMUSG00000060477"	0.362374927692719	4.25324642389095	28.1229963014263	2.65228925046104e-06	0.00413911839944865
"ENSMUSG00000053475"	1.0157605465549	1.60217295577485	27.7047549118725	3.12264676870315e-06	0.00449829277211568
"ENSMUSG00000029710"	-0.55981801596891	2.21437378750814	27.1203964499027	3.6976907807461e-06	0.00494618966078802
"ENSMUSG00000045414"	-0.41182700098423	5.49157779381904	26.9846846506121	4.05492498877269e-06	0.00506243868431641
"ENSMUSG00000027995"	-1.02338181740232	-0.178751114254928	26.3693626295429	4.75752651386849e-06	0.00556838743907595
"ENSMUSG00000015312"	0.6684659142946	2.78333469262343	25.5289633334826	6.51630777163589e-06	0.00717828797878973
"ENSMUSG00000040447"	0.318275673555387	5.66858317631004	24.855542878091	7.97324945825664e-06	0.00787962675992436
"ENSMUSG00000030047"	0.476349272088257	3.73199101324483	24.8478277165879	7.99449503062759e-06	0.00787962675992436
"ENSMUSG00000020108"	0.459696099556701	4.89377298852286	24.9169304129111	8.60306852184137e-06	0.00805548321042617
"ENSMUSG00000026383"	-0.435095444299285	3.15917351167367	23.8819406173414	1.11822073180809e-05	0.00997186649741431
"ENSMUSG00000089809"	-0.338370484230552	5.89652461829866	23.5286224633071	1.26580574674677e-05	0.0107748837360576
"ENSMUSG00000053846"	0.499042036956411	2.4531264609911	23.1814038021423	1.43073400835424e-05	0.0111778850994269
"ENSMUSG00000024883"	0.23345929885459	6.29793445083863	23.1223432233097	1.46094772242338e-05	0.0111778850994269
"ENSMUSG00000003545"	1.11205125387998	3.38602737179242	23.9728534218396	1.49793433581533e-05	0.0111778850994269
"ENSMUSG00000026773"	0.465261503815594	5.21099987596771	23.2825498633086	1.55190373570299e-05	0.0111778850994269
"ENSMUSG00000000567"	-0.50629332108089	3.8869561890551	22.8959345063569	1.66111386256928e-05	0.0115213627053092
"ENSMUSG00000025582"	0.389001057658056	8.42040415573556	22.2909338858373	2.10537274457317e-05	0.0139682741648237
"ENSMUSG00000005124"	0.748526446275177	2.77477402188413	22.1100033405534	2.28147978275391e-05	0.0139682741648237
