"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"ENSMUSG00000004328"	1.85878601459648	3.46876085889928	209.060310279738	4.51164623644652e-19	8.4489599069934e-15
"ENSMUSG00000031431"	1.15759828599824	6.149941179354	161.631806084127	1.01249939270904e-16	9.48053806363113e-13
"ENSMUSG00000038059"	1.14809985843648	3.32660091518673	145.710850118815	2.32568144614228e-16	1.45176788139688e-12
"ENSMUSG00000049892"	1.74852478125518	2.43087281437814	129.680989992683	2.27694234018539e-15	1.06600748011629e-11
"ENSMUSG00000041957"	1.31240147990465	2.56699389765969	113.190982406136	2.18451755686504e-14	8.18189205748232e-11
"ENSMUSG00000028645"	0.958675133949142	6.40531214569974	108.575986612991	1.09216624094489e-13	3.40883286569584e-10
"ENSMUSG00000021624"	-1.31186113746419	1.00115367295097	96.3211751235354	3.36102981242826e-13	8.99171504247773e-10
"ENSMUSG00000038844"	-0.522195201012947	3.92796072518475	95.5044458009578	3.86747316209527e-13	9.05327123831976e-10
"ENSMUSG00000106019"	-0.989583540048658	3.06595464001612	94.0281109606045	4.99459049375601e-13	1.03926329085077e-09
"ENSMUSG00000021071"	0.349968188968252	8.63113334330476	91.5807841091793	7.67724325979027e-13	1.43771734526092e-09
"ENSMUSG00000105843"	2.0066916411574	1.91803647936275	89.6905133320944	1.97945228257931e-12	3.36992753598753e-09
"ENSMUSG00000035606"	1.03000493086417	2.18722148096525	83.9749448751677	3.07032675265609e-12	4.6399251493801e-09
"ENSMUSG00000017009"	0.770965236395277	5.11830841255297	84.5534587229982	3.22096582164475e-12	4.6399251493801e-09
"ENSMUSG00000021203"	0.626868200601397	5.31442567586162	83.1328587368536	3.59722269768561e-12	4.81179924711132e-09
"ENSMUSG00000042216"	0.703295402341432	7.05378595437885	82.4718530685986	5.19205458372143e-12	6.48210707929009e-09
"ENSMUSG00000002831"	2.40469617016195	1.97808139770342	83.0558955012187	7.11053584031645e-12	8.32243779260038e-09
"ENSMUSG00000040055"	0.637976643475797	5.5439364321409	77.7364786473743	1.01763238954285e-11	1.12101186817465e-08
"ENSMUSG00000040447"	0.566548219251624	5.66858317631004	77.4213066503338	1.08284848444239e-11	1.12658353156403e-08
"ENSMUSG00000039671"	0.471841534403161	7.38155118593515	74.8995058257045	1.79023589798703e-11	1.71008662108705e-08
"ENSMUSG00000039634"	1.09059922155968	3.16230569234411	75.5944019680819	1.82633269726817e-11	1.71008662108705e-08
"ENSMUSG00000024883"	0.417517906019018	6.29793445083863	73.6484408022575	2.30627681387443e-11	2.05664980444888e-08
"ENSMUSG00000028655"	0.693114448297263	4.77182860165548	70.3023312070182	4.62584269408482e-11	3.9376434605512e-08
"ENSMUSG00000086040"	0.584293961653996	7.27131847494386	69.3932991713145	5.61819737706112e-11	4.35384894302823e-08
"ENSMUSG00000023067"	0.992187285649179	5.12819691935174	73.4462024478315	5.72651831798542e-11	4.35384894302823e-08
"ENSMUSG00000079018"	0.635007792147944	4.74038393516573	69.1908206481352	5.81226163163912e-11	4.35384894302823e-08
"ENSMUSG00000033083"	0.804805122347422	3.6320386595726	68.3909793938856	6.88657552766758e-11	4.88519510299712e-08
"ENSMUSG00000081683"	-1.49447269787744	0.699323451020265	68.2852586353649	7.04332075510878e-11	4.88519510299712e-08
"ENSMUSG00000048826"	-0.512762496045348	5.73855034474189	66.9947957597732	9.28565925745388e-11	6.0250089745277e-08
"ENSMUSG00000024222"	1.1177693635531	5.23371523976745	71.9762527529694	9.63252656157029e-11	6.0250089745277e-08
"ENSMUSG00000069171"	-0.469924061749618	5.59393017867337	66.815363107167	9.6518539667769e-11	6.0250089745277e-08
"ENSMUSG00000036106"	0.930723038835621	2.12233931278517	66.2852259253132	1.08242085477672e-10	6.53886946690441e-08
"ENSMUSG00000032278"	1.30417747216302	1.69141128172376	65.5837743818655	1.26075203519203e-10	7.37815730095039e-08
"ENSMUSG00000030711"	1.20973370049109	3.25472861134444	66.8543692141799	1.57960453333429e-10	8.96401639265188e-08
"ENSMUSG00000022360"	-0.730713112147361	3.55214706708949	64.3182089153672	1.66410859577139e-10	9.16581225676789e-08
"ENSMUSG00000040451"	0.472707101311359	4.94398896183871	64.0163877745078	1.77883067427721e-10	9.51776058205407e-08
"ENSMUSG00000032940"	-0.637258547318707	2.41282204539219	62.3260063120231	2.59275633250915e-10	1.34873743996941e-07
"ENSMUSG00000039913"	-0.615865428141991	5.93525310451776	62.3916132776862	3.06970024419098e-10	1.55368314791796e-07
"ENSMUSG00000110980"	-0.753736272605049	2.94764253165645	61.1364489255562	3.39186002571244e-10	1.67156217635571e-07
"ENSMUSG00000025037"	-0.461659894237735	5.052513765205	60.7901837242959	3.66980481960403e-10	1.74723956736096e-07
"ENSMUSG00000014361"	0.579422323865699	5.60195870061224	60.8505824420664	3.81077254715616e-10	1.74723956736096e-07
"ENSMUSG00000074170"	0.929928234863449	1.31572684221842	60.608159220395	3.82532291674051e-10	1.74723956736096e-07
"ENSMUSG00000030168"	0.37616774388928	5.82297398166691	59.323832863292	5.13719690907135e-10	2.29057825038522e-07
"ENSMUSG00000025795"	-0.635793756114878	5.14893770641515	58.8642219438753	6.44051621559843e-10	2.77785623035611e-07
"ENSMUSG00000031700"	0.495790376167314	5.8616690573018	58.2924410677129	6.52670871659469e-10	2.77785623035611e-07
