"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"ENSMUSG00000031431"	1.2013456441707	6.149941179354	259.895464540758	1.23355142675882e-20	1.63149946680828e-16
"ENSMUSG00000038059"	1.1976436174707	3.32660091518673	236.501460804483	1.74240344615611e-20	1.63149946680828e-16
"ENSMUSG00000004328"	1.5898177280649	3.46876085889928	231.26400128707	6.17216015037646e-20	3.85286810453666e-16
"ENSMUSG00000020427"	1.06077298529786	4.03278102007101	196.244520529592	7.56203621377468e-19	3.54035630438396e-15
"ENSMUSG00000041957"	1.42063906156181	2.56699389765969	191.226619881329	1.26308556273623e-18	4.73076066667226e-15
"ENSMUSG00000049892"	1.56112746244866	2.43087281437814	157.360116746096	6.53429466362448e-17	2.03946226942826e-13
"ENSMUSG00000031700"	0.64940057578663	5.8616690573018	148.382982257594	1.65768040826515e-16	4.43476871508306e-13
"ENSMUSG00000021624"	-1.33358362334493	1.00115367295097	137.377867555714	6.89468814181662e-16	1.6139603103975e-12
"ENSMUSG00000028645"	0.897364402367577	6.40531214569974	140.877840816082	1.34673950822622e-15	2.41388519932361e-12
"ENSMUSG00000017009"	0.798172482411329	5.11830841255297	133.984798579178	1.39078830501558e-15	2.41388519932361e-12
"ENSMUSG00000048826"	-0.594371438832688	5.73855034474189	132.048316208545	1.4178852561841e-15	2.41388519932361e-12
"ENSMUSG00000069171"	-0.542754448501742	5.59393017867337	130.856195240004	1.67090307995137e-15	2.60758349818745e-12
"ENSMUSG00000040447"	0.567950726534249	5.66858317631004	113.786205158382	1.9942611172248e-14	2.87280984171298e-11
"ENSMUSG00000036106"	1.01906511411295	2.12233931278517	111.909229989878	2.66117162312672e-14	3.55969721330671e-11
"ENSMUSG00000105843"	1.94930954005348	1.91803647936275	115.886827741526	3.17931653730878e-14	3.76423414328679e-11
"ENSMUSG00000014361"	0.646269631539529	5.60195870061224	111.3214930093	3.21609154122863e-14	3.76423414328679e-11
"ENSMUSG00000002831"	2.65211128759298	1.97808139770342	115.883919219543	3.67551198018135e-14	4.04890075605036e-11
"ENSMUSG00000032265"	0.902545103106734	2.49841648178217	109.41261878363	3.92671973579709e-14	4.08531558290401e-11
"ENSMUSG00000028655"	0.702515662092863	4.77182860165548	108.722176803524	4.415460078106e-14	4.35201688856269e-11
"ENSMUSG00000024883"	0.413235683037424	6.29793445083863	106.831002201946	5.91002640005875e-14	5.53385321969501e-11
"ENSMUSG00000106019"	-0.877938511567699	3.06595464001612	105.688333848674	7.09790902554248e-14	6.32964487244448e-11
"ENSMUSG00000023192"	-0.728368353031326	5.61243310639753	107.697598567319	8.5987612804548e-14	7.31950011359441e-11
"ENSMUSG00000024222"	1.15015295244142	5.23371523976745	112.303680757277	1.38249640492026e-13	1.12565261630182e-10
"ENSMUSG00000035686"	0.785461390304199	3.57462021826501	100.825298900035	1.57186892815941e-13	1.22651622573505e-10
"ENSMUSG00000040055"	0.593684481313579	5.5439364321409	99.7733313796597	1.87325440706321e-13	1.38767213207594e-10
"ENSMUSG00000086040"	0.573461800910147	7.27131847494386	99.6829649292225	1.9266019882509e-13	1.38767213207594e-10
"ENSMUSG00000034165"	0.501793372426693	3.95443762669601	97.7094180251014	2.65249167078594e-13	1.83974857477067e-10
"ENSMUSG00000045193"	-0.60654958704934	5.41662898003762	96.0628289760563	3.61086787076832e-13	2.41502580770994e-10
"ENSMUSG00000030711"	1.22244945179464	3.25472861134444	100.233227100538	3.74891744957211e-13	2.42089576131507e-10
"ENSMUSG00000042857"	-0.813192086266135	1.54058503171353	93.858825841109	5.14410882764975e-13	3.21112420051323e-10
"ENSMUSG00000036052"	0.584596467699682	7.53142791738773	94.3332541628102	5.38022603944151e-13	3.25017719485875e-10
"ENSMUSG00000026315"	0.852628279011005	4.05800744195839	94.9782717689231	5.93852668098154e-13	3.47533716108566e-10
"ENSMUSG00000035606"	0.91173360712005	2.18722148096525	91.968152221187	7.16861305966724e-13	3.99068852666907e-10
"ENSMUSG00000074170"	0.973311914904671	1.31572684221842	91.9079219673667	7.2453361406925e-13	3.99068852666907e-10
"ENSMUSG00000025324"	0.973184478246429	3.6543885293567	94.2113372311726	7.69869708131888e-13	4.1192428640531e-10
"ENSMUSG00000001768"	0.611396978934203	4.89340834630758	91.1018505742691	8.35848285649199e-13	4.34803634593127e-10
"ENSMUSG00000079018"	0.593518920889751	4.74038393516573	89.5664761724533	1.09991792243918e-12	5.56707106311311e-10
"ENSMUSG00000006205"	0.436988220325359	6.88975975772197	89.30911640938	1.15206477915446e-12	5.67755713663832e-10
"ENSMUSG00000054720"	0.501453135813178	5.06858466469133	87.2406500475624	1.67706268413975e-12	8.05291099638079e-10
"ENSMUSG00000032278"	1.26434031846413	1.69141128172376	85.7233111324085	2.21704547501656e-12	1.03796526526588e-09
"ENSMUSG00000026773"	0.756770879515399	5.21099987596771	88.4540202223779	2.53735317185132e-12	1.15895153290877e-09
"ENSMUSG00000049090"	-0.394963217374037	4.61453984607101	83.945258606327	3.08746394079277e-12	1.37664136236253e-09
"ENSMUSG00000034738"	1.0234818806431	2.34765018301494	83.6502370229334	3.26328292562355e-12	1.42119765925935e-09
"ENSMUSG00000033594"	0.368179488387935	5.61595116307884	81.3863246943454	5.01250181276611e-12	2.1333891238107e-09
"ENSMUSG00000024778"	1.43403960514915	0.551759313343642	81.1428847014921	5.25162077730294e-12	2.1854911621456e-09
"ENSMUSG00000039671"	0.402173549981631	7.38155118593515	80.7779251437637	5.63257477396156e-12	2.29307016939083e-09
"ENSMUSG00000019916"	0.585135072356266	5.56687718430568	80.9987502525387	6.5148053765823e-12	2.59580341036716e-09
"ENSMUSG00000020484"	0.542383450218479	6.19137922950197	79.2415589899037	8.5562867453438e-12	3.33819962250111e-09
"ENSMUSG00000030168"	0.356065784955017	5.82297398166691	78.4415592781694	8.86107017150418e-12	3.38655634901548e-09
"ENSMUSG00000040451"	0.432992301654077	4.94398896183871	78.0435756631017	9.58011565597696e-12	3.58813651778961e-09
"ENSMUSG00000040490"	0.559210747138069	4.49688724685485	76.8725488070587	1.20698349747964e-11	4.43199607005905e-09
"ENSMUSG00000000184"	0.507110096811271	6.43277757561009	76.4718179356217	1.33087941868867e-11	4.79295747572744e-09
"ENSMUSG00000053907"	0.350954636625253	7.69987598766964	76.1138427412333	1.40350056942883e-11	4.95912361579126e-09
"ENSMUSG00000034271"	0.60441747794691	4.97671780650556	75.5090217581411	1.79582599111478e-11	6.22785802511233e-09
"ENSMUSG00000048458"	0.346315494339149	7.36948186654458	74.4759008418809	1.94997597045594e-11	6.63949090885972e-09
"ENSMUSG00000050211"	-1.10625754059657	3.74102152569712	78.6555852412462	2.23211343664518e-11	7.39201541419724e-09
"ENSMUSG00000022656"	-0.596636429316282	5.07611963577945	74.6218386272817	2.24993260324261e-11	7.39201541419724e-09
