EnsembleID	Symbol
ENSMUSG00000081683	Fzd10
ENSMUSG00000031902	Nfatc3
ENSMUSG00000000126	Wnt9a

ENSMUSG00000020653	Klf11
ENSMUSG00000000567	Sox9
ENSMUSG00000022360	Atad2
ENSMUSG00000031902	Nfatc3
ENSMUSG00000069171	Nr2f1
ENSMUSG00000000078	Klf6
	
ENSMUSG00000032035	Ets1
ENSMUSG00000022061	Nkx3-1
ENSMUSG00000081683	Fzd10
ENSMUSG00000019846	Lama4
ENSMUSG00000000126	Wnt9a


