EnsembleID	Symbol
ENSMUSG00000040482	Dxo
ENSMUSG00000073460	Pnldc1
ENSMUSG00000039236	Isg20
ENSMUSG00000001285	Myg1
ENSMUSG00000026248	Mrpl44
ENSMUSG00000042787	Exog

ENSMUSG00000021478	Drd1
ENSMUSG00000068037	Mas1
ENSMUSG00000045731	Pnoc
ENSMUSG00000036381	P2ry14
ENSMUSG00000050164	Mchr1
ENSMUSG00000032528	Vipr1
ENSMUSG00000024553	Galr1
ENSMUSG00000044933	Sstr3
ENSMUSG00000038668	Lpar1

ENSMUSG00000044103	Il36g
ENSMUSG00000090077	Lime1
ENSMUSG00000046269	Usp27x
ENSMUSG00000010358	Ifi35
ENSMUSG00000036905	C1qb
ENSMUSG00000025163	Cd7
ENSMUSG00000031838	Ifi30
ENSMUSG00000039236	Isg20
ENSMUSG00000051256	Jagn1
ENSMUSG00000036655	Colec11
ENSMUSG00000017830	Dhx58
ENSMUSG00000020573	Pik3cg
